timestamp,voc [ppb],sound_pressure_level [dba],indoor_relative_humidity [%],air_temperature [Celsius],illuminance [lux],pm2.5 [mu_g/m3],indoor_co2 [ppm],wifi_connected_devices [number],ceiling_fan_energy [kWh],lighting_energy [kWh],plug_load_energy [kWh],chilled_water_energy [kWh],ahu_fan_energy [kWh],supply_air_flow [CMH],damper_position [%],temp_setpoint [Celsius],cooling_coil_valve_position [%],cooling_coil_valve_command [%],ahu_fan_speed [Hz],offcoil_air_temp [Celsius],offcoil_temp_setpoint [Celsius],pressure_across_filter [Pa],supply_air_humidity [%],supply_air_pressure [Pa],supply_air_temperature [Celsius],baromatic_pressure [hPa],dry_bulb_temp [Celsius],global_horizontal_solar_radiation [W/m2],wind_direction [Degree],wind_speed [m/s],outdoor_co2 [ppm],outdoor_relative_humidity [%],occupant_presence [binary],occupant_count [number]
2021-09-07 03:15 +08:00,95.75862122,54.56551743,62.32896423,27.08827591,627.6379395,3.103448391,445.9310303,2,0,0,0.016601,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.39735794,17,0,94.8447876,0,25.77322578,1004.099976,26.60000038,0,266.3431396,0.413657755,463.508728,99,0,0
2021-09-07 03:20 +08:00,139.8333282,55.40000153,62.40999985,27.08633423,660.6166382,3.099999905,447.6000061,2,0,0,0.01709,0,0.01757,1942.828,72.98235,26,7.738284588,0,0,24.39735794,17,0,94.8447876,0,25.77322578,1004.099976,26.70000076,1.983770967,308.8464966,0.319026262,463.892334,97.90324402,0,0
2021-09-07 03:25 +08:00,122.3333359,54.90999985,62.39633179,27.06800079,782.5800171,3.299999952,450.4666748,2,0,0,0.016602,0,0.01563,1942.828,72.98235,26,7.738284588,0,0,24.39735794,17,0,94.8447876,0,25.77322578,1004.099976,26.70000076,1.999950171,266.5005188,0.779994488,464.0791321,97.80000305,0,0
2021-09-07 03:30 +08:00,113.896553,54.87931061,62.32069016,27.07896614,890.0447998,3.310344934,444.8275757,2,0,0,0.01709,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.39735794,17,0,94.8447876,0,25.87281799,1004.099976,26.70000076,0,267.0032654,0.620487869,463.9053345,97.70162201,0,0
2021-09-07 03:35 +08:00,100.3103485,55.09654999,62.1462059,27.11068916,690.8517456,3.241379261,446.1034546,2,0,0,0.016601,0,0.01757,1942.828,72.98235,26,7.738284588,0,0,24.39735794,17,0,94.8447876,0,25.87281799,1004.099976,26.70000076,0,298.53479,0.566386998,465.4621277,98.29508972,0,0
2021-09-07 03:40 +08:00,105.5666656,55.88333511,62.13266754,27.11300087,294.793335,3.633333445,442.8999939,3,0,0,0.016602,0,0.01563,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.87281799,1004.099976,26.70000076,0.016278343,297.1235046,0.738697767,463.8988342,98.5,0,0
2021-09-07 03:45 +08:00,105.3666687,57.63000107,62.17733383,27.0890007,201.4033356,3.533333302,444.2666626,2,0,0,0.01709,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.87281799,1003.900024,26.60000038,0,258.7902832,1.106443167,464.8851624,99.49676514,0,0
2021-09-07 03:50 +08:00,106.1999969,58.71666718,62.20999908,27.0510006,314.813324,3.366666555,446.4666748,2,0,0,0.016601,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.87281799,1003.900024,26.5,0,284.6971741,0.639980972,463.1122437,99.99999237,0,0
2021-09-07 03:55 +08:00,109.5666656,55.27666855,62.19566727,27.03100014,656.1599731,3.299999952,450.1000061,3,0,0,0.01709,0,0.01562,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.87281799,1003.900024,26.5,0.016245576,310.1704102,0.231949478,463.8858337,99.80000305,0,0
2021-09-07 04:00 +08:00,111.5,55.43000031,62.14599991,27.03499985,799.1133423,3.033333302,448.7333374,3,0,0,0.016601,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.87281799,1003.801575,26.5,0,301.5343018,0.106447503,462.9024658,99.99677277,0,0
2021-09-07 04:05 +08:00,111.6333313,54.42333221,62.07166672,27.03766632,693.043335,3.166666746,454.7666626,2,0,0,0.016602,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.87281799,1003.799988,26.5,0.999866724,199.2739716,0.329978704,463.4957275,100,0,0
2021-09-07 04:10 +08:00,110.2068939,54.66896439,62.1268959,27.02310371,647.3620605,2.965517282,449.2069092,2,0,0,0.016602,0,0.01562,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.87281799,1003.900024,26.5,0,21.63444138,0.040021986,463.2990723,100,0,0
2021-09-07 04:15 +08:00,107.9000015,54.85333252,61.99666595,27.04899979,678.4366455,2.966666698,445.3999939,2,0,0,0.017089,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.900024,26.5,0,5.041356087,0.533632219,463.0893555,100,0,0
2021-09-07 04:20 +08:00,106.6666641,54.76333237,61.94200134,27.04266739,794.0666504,3.033333302,441.7333374,2,0,0,0.016602,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.900024,26.39999962,0,1.460364819,0.539936066,462.5155945,100,0,0
2021-09-07 04:25 +08:00,87.2142868,54.18571472,62.02892685,27,770.06073,3,442.0357056,2,0,0,0.016602,0,0.01562,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.900024,26.39999962,0.016343879,239.2409363,0.256731212,462.7123718,100,0,0
2021-09-07 04:30 +08:00,98.93333435,54.08333206,62.04466629,26.99500084,695.2999878,3,441.9666748,2,0,0,0.016601,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.900024,26.39999962,0,119.5010452,0.209999993,462.6960449,100,0,0
2021-09-07 04:35 +08:00,105.5,54.07333374,61.91033173,27.0423336,684.9899902,3.066666603,441.7666626,2,0,0,0.016602,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.900024,26.30163574,0,28.39469528,0.278854787,462.8992615,100,0,0
2021-09-07 04:40 +08:00,124.5,56.34999847,61.9683342,26.99799919,657.0166626,3,449.0333252,3,0,0,0.016601,0,0.01562,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.900024,26.30162811,0,257.4032898,0.100000001,462.3222656,100,0,0
2021-09-07 04:45 +08:00,135.7666626,58.61333466,62.03933334,26.97066689,638.5800171,3.133333445,449.8999939,3,0,0,0.01709,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1004.096741,26.29999924,0,335.1936035,0.150000006,462.4896851,100,0,0
2021-09-07 04:50 +08:00,138.8000031,53.79999924,61.83533478,27.0233326,535.210022,3.133333445,450.1333313,2,0,0,0.016602,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.900024,26.39999962,0,355.6946106,0.109999999,464.0856934,100,0,0
2021-09-07 04:55 +08:00,141.2666626,53.73666763,61.80433273,27.0316658,521.2700195,3.066666603,452.4666748,3,0,0,0.016601,0,0.01563,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.799988,26.39999962,0,278.7181091,0.196925789,463.6924438,100,0,0
2021-09-07 05:00 +08:00,153.2758636,54.83793259,61.95000076,26.98724174,571.758606,3.068965435,453.1379395,2,0,0,0.016602,0,0.01757,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.799988,26.39999962,0,97.52954865,0.348845333,462.9025879,100,0,0
2021-09-07 05:05 +08:00,165.1666718,59.71333313,61.86100006,27.02866745,611.2666626,3.033333302,445.3999939,3,0,0,0.016601,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.700012,26.29999924,0,150.4996948,0.050025634,462.8927612,100,0,0
2021-09-07 05:10 +08:00,169.3000031,56.61000061,61.91333389,27.00833321,699.0499878,3.166666746,446.3333435,4,0,0,0.01709,0,0.01563,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.599976,26.29999924,0,326.2843018,0.349995494,462.5092163,100,0,0
2021-09-07 05:15 +08:00,152.9642792,54.38571548,61.9985733,26.96285629,778.2392578,3.178571463,444.8571472,3,0,0,0.016602,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.700012,26.29999924,0,160.5050507,0.170000002,464.65625,100,0,0
2021-09-07 05:20 +08:00,161.6666718,54.52666855,61.75666809,27.03000069,843.3266602,3.200000048,441.5666809,3,0,0,0.016601,0,0.01757,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.599976,26.29999924,0,222.4258118,0.170062765,463.4957275,100,0,0
2021-09-07 05:25 +08:00,163,54.89666748,61.73433304,27.04000092,827.4066772,3.466666698,441.5,2,0,0,0.01709,0,0.01563,1942.828,72.98235,26,7.738284588,0,0,24.54652596,17,0,94.8447876,0,25.97187614,1003.700012,26.29999924,0,248.7054596,0.150000006,463.292572,100,0,0
2021-09-07 05:30 +08:00,163.1666718,54.70333481,61.60466766,27.06833267,825.6699829,3.533333302,443.3333435,1,0,0,0.016602,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.69511223,17,0,94.8447876,0,26.07224083,1003.700012,26.29999924,0,45.79545975,0.829910278,462.6960449,100,0,0
2021-09-07 05:35 +08:00,166.6666718,53.71333313,61.63166809,27.05066681,907.9633179,3.599999905,440.0333252,3,0,0,0.016601,0,0.01757,1942.828,72.98235,26,7.738284588,0,0,24.69511223,17,0,94.8447876,0,26.07224083,1003.700012,26.29999924,0,262.2976379,0.30000931,462.856781,100,0,0
2021-09-07 05:40 +08:00,175.7666626,53.61333466,61.56966782,27.08033371,918.5066528,3.400000095,445.8999939,3,0,0,0.01709,0,0.01563,1942.828,72.98235,26,7.738284588,0,0,24.69511223,17,0,94.8447876,0,26.07224083,1003.799988,26.39999962,0,240.8725281,0.15389511,462.6928101,100,0,0
2021-09-07 05:45 +08:00,178.6333313,54.05666733,61.51133347,27.07966614,862.9299927,3.566666603,443.1000061,2,0,0,0.016602,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.69511223,17,0,94.8447876,0,26.07224083,1003.599976,26.29999924,0,258.9897766,0.5,462.0963135,100,0,0
2021-09-07 05:50 +08:00,178.3999939,54.13333511,61.65833282,27.04199982,778.1400146,3.366666555,446.2333374,3,0,0,0.016601,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.69511223,17,0,94.8447876,0,26.07224083,1003.700012,26.29999924,0,353.0897522,0.160010993,462.2929382,100,0,0
2021-09-07 05:55 +08:00,173.4827576,55.28620529,61.59793091,27.07344818,733.1689453,3.689655066,451.6551819,3,0,0,0.01709,0,0.01562,1942.828,72.98235,26,7.738284588,0,0,24.69511223,17,0,94.8447876,0,26.07224083,1003.700012,26.29999924,0,267.9813538,0.369965374,462.6895752,100,0,0
2021-09-07 06:00 +08:00,172.5333405,55.77666855,61.53266525,27.08933258,760.1699829,3.599999905,451.5333252,3,0,0,0.016602,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.69511223,17,0,94.8447876,0,26.07224083,1003.599976,26.29999924,0,337.7207947,0.387711853,463.1220093,100,0,0
2021-09-07 06:05 +08:00,159.0714264,54.27142715,61.50893021,27.1071434,839.2000122,3.571428537,452.3571472,3,0,0,0,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.69511223,17,0,94.8447876,0,26.07224083,1003.700012,26.29999924,0,196.3140564,0.277570546,461.9093018,100,0,0
2021-09-07 06:10 +08:00,155.9666595,55.70666504,61.51933289,27.07733345,835.3900146,3.566666603,454.5,3,0,0,0,0,0.01562,1942.828,72.98235,26,7.738284588,0,0,24.69511223,17,0,94.8447876,0,26.07224083,1003.900024,26.29999924,0,226.9049225,0.150327533,462.0930481,100,0,0
2021-09-07 06:15 +08:00,163.8000031,55.24000168,61.52299881,27.04100037,854.4666748,3.466666698,453.6000061,3,0,0,0,0,0.01758,1942.828,72.98235,26,7.738284588,0,0,24.69511223,17,0,94.8447876,0,26.07224083,1003.900024,26.29999924,0,272.727478,0.052276656,462.4928894,100,0,0
